,AR1,AR3,HAR,LSTM,RC,HPT-QRC,ARMAX,HARX,LSTMX,RCX,HPT-QRC-X
AR1,,0.025,0.217,0.000,0.028,0.194,0.000,0.000,0.529,0.000,0.000
AR3,2.244,,0.004,0.000,0.003,0.979,0.000,0.000,0.825,0.000,0.000
HAR,-1.234,-2.879,,0.000,0.087,0.043,0.000,0.000,0.365,0.000,0.000
LSTM,4.335,3.937,4.357,,0.000,0.000,0.003,0.000,0.000,0.000,0.000
RC,-2.197,-3.021,-1.710,-4.930,,0.004,0.000,0.000,0.111,0.000,0.000
HPT-QRC,1.298,0.026,2.024,-3.900,2.884,,0.000,0.000,0.830,0.000,0.000
ARMAX,5.554,5.234,5.536,2.944,6.128,5.225,,0.000,0.000,0.000,0.000
HARX,-5.765,-5.981,-5.400,-7.814,-4.359,-5.862,-8.296,,0.000,0.002,0.192
LSTMX,0.630,0.221,0.907,-8.232,1.593,0.214,-7.601,6.427,,0.000,0.000
RCX,-7.478,-7.571,-6.944,-9.364,-6.132,-7.617,-9.713,-3.070,-8.363,,0.000
HPT-QRC-X,-5.450,-5.713,-5.021,-7.554,-4.019,-5.734,-8.119,1.305,-6.006,3.594,
